[C-CORE] Booting Headless Unity Build...
[C-CORE] Routing to scripts/bot.lua...
[BOT:50006] Booting Headless Chaos Node...
[LAB] Initializing Headless Node on Port 50006...
[HEARTBEAT] Node: 0 | Tick:  4621 | Conf:  4619 | Hash: 0x6AE78B01 | Rollbacks:  3 (Resim:   3) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4681 | Conf:  4679 | Hash: 0x0405666A | Rollbacks:  0 (Resim:   0) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  4741 | Conf:  4739 | Hash: 0x9A157892 | Rollbacks:  9 (Resim:   9) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4801 | Conf:  4799 | Hash: 0xFF7BE7B3 | Rollbacks:  9 (Resim:   9) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4861 | Conf:  4859 | Hash: 0x6ED9F8D5 | Rollbacks: 14 (Resim:  14) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4921 | Conf:  4919 | Hash: 0xA2805AC2 | Rollbacks: 16 (Resim:  17) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  4981 | Conf:  4979 | Hash: 0x5F570DC8 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5041 | Conf:  5039 | Hash: 0x549D3EF2 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5101 | Conf:  5099 | Hash: 0x8521330F | Rollbacks: 21 (Resim:  21) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5161 | Conf:  5159 | Hash: 0xB9F5EAAE | Rollbacks:  4 (Resim:   4) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5221 | Conf:  5219 | Hash: 0x1D063B4E | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5281 | Conf:  5279 | Hash: 0x4ACBB883 | Rollbacks: 18 (Resim:  18) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  5341 | Conf:  5339 | Hash: 0xC15E395B | Rollbacks: 21 (Resim:  21) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5401 | Conf:  5399 | Hash: 0xFE5CD334 | Rollbacks: 11 (Resim:  11) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5461 | Conf:  5459 | Hash: 0x06D0B557 | Rollbacks: 15 (Resim:  15) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5521 | Conf:  5519 | Hash: 0x6D646868 | Rollbacks: 13 (Resim:  13) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5581 | Conf:  5579 | Hash: 0x2F849C11 | Rollbacks: 18 (Resim:  18) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5641 | Conf:  5639 | Hash: 0x39D1830C | Rollbacks: 15 (Resim:  15) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5701 | Conf:  5699 | Hash: 0x5230F60B | Rollbacks:  9 (Resim:   9) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5761 | Conf:  5759 | Hash: 0x73ED3A03 | Rollbacks:  5 (Resim:   5) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5821 | Conf:  5819 | Hash: 0x6E56FC39 | Rollbacks: 26 (Resim:  26) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  5881 | Conf:  5879 | Hash: 0x335D0B2B | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  5941 | Conf:  5939 | Hash: 0xEC1DD6E9 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6001 | Conf:  5999 | Hash: 0x8BD6E98B | Rollbacks: 12 (Resim:  12) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6061 | Conf:  6059 | Hash: 0x1B773FA3 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6121 | Conf:  6119 | Hash: 0xA0116599 | Rollbacks:  9 (Resim:   9) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6181 | Conf:  6179 | Hash: 0x89FA7193 | Rollbacks:  4 (Resim:   4) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6241 | Conf:  6239 | Hash: 0xFAF058C8 | Rollbacks: 23 (Resim:  23) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6301 | Conf:  6299 | Hash: 0x80EFA16B | Rollbacks:  7 (Resim:   7) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6361 | Conf:  6359 | Hash: 0xFF0B98B7 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6421 | Conf:  6419 | Hash: 0x94E134EC | Rollbacks: 24 (Resim:  24) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  6481 | Conf:  6479 | Hash: 0x5B3C69CD | Rollbacks:  5 (Resim:   5) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6541 | Conf:  6539 | Hash: 0x1891F8A9 | Rollbacks: 17 (Resim:  17) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6601 | Conf:  6599 | Hash: 0xAF5D7C2D | Rollbacks: 10 (Resim:  10) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6661 | Conf:  6659 | Hash: 0xF0112F7B | Rollbacks:  5 (Resim:   5) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6721 | Conf:  6719 | Hash: 0x1E736513 | Rollbacks: 22 (Resim:  22) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6781 | Conf:  6779 | Hash: 0xC1803432 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6841 | Conf:  6839 | Hash: 0xC54247A9 | Rollbacks: 25 (Resim:  25) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6901 | Conf:  6899 | Hash: 0xD39CB385 | Rollbacks: 11 (Resim:  11) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  6961 | Conf:  6959 | Hash: 0x82C5FDC3 | Rollbacks: 15 (Resim:  15) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7021 | Conf:  7019 | Hash: 0x9F7BC0C3 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[BOT:50006] Heartbeat - Sparse Mods Tracked: 2048
[HEARTBEAT] Node: 0 | Tick:  7081 | Conf:  7079 | Hash: 0x00D8DA26 | Rollbacks:  3 (Resim:   3) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7141 | Conf:  7139 | Hash: 0xCC57E3F4 | Rollbacks:  0 (Resim:   0) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7201 | Conf:  7199 | Hash: 0x148D98A0 | Rollbacks:  4 (Resim:   4) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7261 | Conf:  7259 | Hash: 0x7A2C9218 | Rollbacks:  6 (Resim:   6) | Stalls:  0
[HEARTBEAT] Node: 0 | Tick:  7321 | Conf:  7319 | Hash: 0x1C4FDD92 | Rollbacks:  0 (Resim:   0) | Stalls:  0
